,BHK,Price,Area,Location,Bathrooms,Balcony,Facing,Floor,Total Floors,Store_Room,Study_Room,Pooja_Room,Servant_Room,Others_Room,Property_Age_Years,Area_Type_Encoded,Furnishing_Level_Code,Facility_Premium,Lift,Maintenance,WaterStorage,VaastuCompliant,FireSecurity,VisitorParking,Intercom,Park,AiryRooms,Gym,Overlook_Pool,Overlook_Club,LogPrice
301,2,2750000.0,624.0,"Sree Colony, Kolkata",2,1,South,1.0,4.0,0,0,0,0,0,12.5,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,14.827111833279051
302,3,4800000.0,1127.0,"Narendrapur, Kolkata",2,2,North-West,5.0,7.0,0,0,0,0,0,0.5,1,0,3,1,1,1,0,1,1,0,1,0,1,0,0,15.38412668421143
303,2,2200000.0,723.0,"Serampore, Hooghly",2,1,West,1.0,4.0,0,0,0,0,0,7.5,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,14.603968372873895
304,2,5200000.0,1200.0,"Nager Bazar, Jessore Road",2,1,South-East,5.0,5.0,0,0,1,0,0,12.5,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,15.46416937585933
305,2,3600000.0,868.0,"Jadavgarh Colony, Haltu",2,2,Missing,1.0,5.0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.096444681204078
306,3,6800000.0,1254.0,"Sodepur, Kolkata North",2,1,North-East,6.0,19.0,0,0,0,0,0,7.5,2,1,4,1,1,0,1,1,0,1,1,1,1,0,0,15.732433317205148
307,2,6559999.999999999,818.0,"New Town, Kolkata",2,2,East,5.0,12.0,0,0,0,0,0,0.5,2,0,2,1,1,1,1,1,1,1,1,0,1,0,0,15.696501313359285
308,3,12200000.0,1238.0,"EM Bypass, Kolkata South",2,1,South-East,15.0,18.0,0,0,0,0,0,0.5,0,0,2,1,0,0,0,0,0,1,1,0,1,0,0,16.316946591670696
309,3,25000000.0,1710.0,"Triangular Park, Ballygunge",3,1,North-West,2.0,7.0,0,0,0,0,0,3.0,2,0,0,1,1,0,0,1,1,1,0,0,0,0,0,17.034386422832473
310,2,4963000.0,1056.0,"Airport 2 No. Gate, North Dumdum",2,1,North,4.0,7.0,0,0,0,0,0,0.5,2,0,4,1,1,1,0,1,1,1,1,0,1,0,0,15.417521156060591
311,3,4901000.0,1167.0,"Belgharia Expressway, Kolkata",2,1,North-West,4.0,6.0,0,0,0,0,0,0.5,2,0,1,1,0,1,0,1,0,1,0,0,0,0,0,15.404950027931655
312,4,24500000.0,2200.0,"New Town, Kolkata",4,1,South-East,5.0,12.0,0,0,0,1,0,0.5,2,0,12,1,1,1,1,1,1,1,1,1,1,0,0,17.01418371633128
313,2,2900000.0,840.0,"Malancha Mahi Nagar, Kolkata",2,1,East,4.0,4.0,0,0,0,0,0,3.0,0,2,0,1,1,1,0,1,1,1,1,0,0,0,0,14.88022163978423
314,2,5200000.0,918.0,"Baruipur, Kolkata South",2,1,South-West,8.0,14.0,0,0,0,0,0,3.0,2,0,9,1,0,0,0,0,0,1,1,1,1,0,0,15.46416937585933
315,3,6500000.0,1275.0,"Mahamayatala, Garia",2,1,South-East,3.0,4.0,0,0,0,0,0,12.5,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,15.687312888712007
316,2,2100000.0,627.0,"Garia, Kolkata",1,1,South,4.0,4.0,0,0,0,0,0,7.5,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,14.557448378884015
317,3,5200000.0,1185.0,"Sonarpur, Kolkata",2,1,South-East,2.0,4.0,0,0,0,0,0,7.5,2,0,3,1,1,1,1,1,1,1,1,0,1,0,0,15.46416937585933
318,3,7500000.0,1251.0,"Fartabad, Garia",2,2,North-East,3.0,4.0,0,0,0,0,0,7.5,2,1,5,1,1,0,1,1,1,1,1,1,1,0,0,15.830413711839864
319,3,8500000.0,1209.0,"Garia, Kolkata",3,1,South,9.0,18.0,0,0,0,0,0,3.0,2,2,9,1,1,1,1,1,1,1,1,1,1,0,0,15.955576839107596
320,3,11000000.0,1693.0,"Kalikapur, Kolkata",3,1,South-East,3.0,4.0,0,0,0,0,0,3.0,2,0,3,1,1,0,1,0,0,0,1,0,1,0,0,16.213405921671733
321,4,17000000.0,1493.0,"Ballygunge, Kolkata",3,1,South-East,4.0,4.0,0,0,0,1,0,0.5,2,0,3,1,0,1,1,0,1,1,0,1,0,0,0,16.648723960844016
322,2,3500000.0,850.0,"Behala, Kolkata",2,1,South,1.0,3.0,0,0,0,0,0,3.0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,15.068273812173887
323,2,2958000.0,870.0,"Narendrapur, Kolkata",2,1,West,3.0,4.0,0,0,0,0,0,0.5,2,0,1,1,1,1,0,0,1,1,0,0,1,0,0,14.900024260319086
324,3,19900000.0,1214.0,"New Alipore, Kolkata",3,2,South,11.0,12.0,0,0,0,1,0,0.5,1,0,2,1,1,1,0,1,1,0,1,1,1,0,0,16.806230339945976
325,4,48000000.0,2914.0,"East Kolkata Township, BT Road",4,2,North-West,30.0,42.0,0,0,1,1,0,-2.25,2,0,9,1,1,1,0,1,1,1,1,1,1,0,0,17.6867115897055
326,4,13500000.0,1958.0,"Rajarhat, Kolkata",3,1,East,3.0,9.0,0,0,0,0,0,3.0,2,0,3,1,1,1,1,1,1,1,1,0,1,0,0,16.41820031748273
